make,model,year_from,year_to,failure_reason,rfr_id,rfr_type_code,severity,frequency,pass_rate,total_tests
PORSCHE,911,2010,2014,31194,31194,A,Low,0.3125,0.939,15978
PORSCHE,911,2010,2014,32037,32037,A,Low,0.2779,0.939,15978
PORSCHE,911,2010,2014,30305,30305,A,Low,0.1547,0.939,15978
PORSCHE,911,2010,2014,30335,30335,A,Low,0.1347,0.939,15978
PORSCHE,911,2010,2014,30333,30333,A,Low,0.0943,0.939,15978
PORSCHE,911,2010,2014,31322,31322,A,Low,0.0669,0.939,15978
PORSCHE,911,2010,2014,31321,31321,A,Low,0.0604,0.939,15978
PORSCHE,911,2010,2014,32108,32108,A,Low,0.057,0.939,15978
PORSCHE,911,2010,2014,30823,30823,M,Low,0.0511,0.939,15978
PORSCHE,911,2010,2014,30329,30329,A,Low,0.0465,0.939,15978
BMW,3 SERIES,1995,1999,30305,30305,A,Low,0.7171,0.6875,17321
BMW,3 SERIES,1995,1999,31194,31194,A,Low,0.5337,0.6875,17321
BMW,3 SERIES,1995,1999,31940,31940,A,Low,0.4154,0.6875,17321
BMW,3 SERIES,1995,1999,32037,32037,A,Low,0.3242,0.6875,17321
BMW,3 SERIES,1995,1999,30335,30335,A,Low,0.3211,0.6875,17321
BMW,3 SERIES,1995,1999,31322,31322,A,Low,0.2289,0.6875,17321
BMW,3 SERIES,1995,1999,32018,32018,A,Low,0.2163,0.6875,17321
BMW,3 SERIES,1995,1999,31321,31321,A,Low,0.17,0.6875,17321
BMW,3 SERIES,1995,1999,30329,30329,A,Low,0.158,0.6875,17321
BMW,3 SERIES,1995,1999,32115,32115,A,Low,0.1485,0.6875,17321
FIAT,500,2010,2014,32037,32037,A,Low,12.6667,0.6325,159438
FIAT,500,2010,2014,31194,31194,A,Low,0.3979,0.6325,159438
FIAT,500,2010,2014,31226,31226,A,Low,0.2877,0.6325,159438
FIAT,500,2010,2014,31533,31533,A,Low,0.1632,0.6325,159438
FIAT,500,2010,2014,31322,31322,A,Low,0.1607,0.6325,159438
FIAT,500,2010,2014,32115,32115,A,Low,0.1573,0.6325,159438
FIAT,500,2010,2014,30335,30335,A,Low,0.1467,0.6325,159438
FIAT,500,2010,2014,32019,32019,A,Low,0.1163,0.6325,159438
FIAT,500,2010,2014,31940,31940,A,Low,0.0965,0.6325,159438
FIAT,500,2010,2014,30329,30329,A,Low,0.096,0.6325,159438
ALFA ROMEO,SPIDER,2005,2009,31194,31194,A,Low,0.3324,0.7476,1486
ALFA ROMEO,SPIDER,2005,2009,30335,30335,A,Low,0.1864,0.7476,1486
ALFA ROMEO,SPIDER,2005,2009,32037,32037,A,Low,0.1487,0.7476,1486
ALFA ROMEO,SPIDER,2005,2009,31322,31322,A,Low,0.1211,0.7476,1486
ALFA ROMEO,SPIDER,2005,2009,31407,31407,A,Low,0.1016,0.7476,1486
ALFA ROMEO,SPIDER,2005,2009,31940,31940,A,Low,0.0814,0.7476,1486
ALFA ROMEO,SPIDER,2005,2009,31002,31002,A,Low,0.0767,0.7476,1486
ALFA ROMEO,SPIDER,2005,2009,31227,31227,F,High,0.076,0.7476,1486
ALFA ROMEO,SPIDER,2005,2009,31942,31942,A,Low,0.0747,0.7476,1486
ALFA ROMEO,SPIDER,2005,2009,31302,31302,A,Low,0.0612,0.7476,1486
VOLKSWAGEN,GOLF,2005,2009,31194,31194,A,Low,0.4984,0.6005,237140
VOLKSWAGEN,GOLF,2005,2009,31322,31322,A,Low,0.3837,0.6005,237140
VOLKSWAGEN,GOLF,2005,2009,30335,30335,A,Low,0.2745,0.6005,237140
VOLKSWAGEN,GOLF,2005,2009,31604,31604,M,Low,0.2218,0.6005,237140
VOLKSWAGEN,GOLF,2005,2009,32037,32037,A,Low,0.1776,0.6005,237140
VOLKSWAGEN,GOLF,2005,2009,30329,30329,A,Low,0.1612,0.6005,237140
VOLKSWAGEN,GOLF,2005,2009,31407,31407,A,Low,0.1583,0.6005,237140
VOLKSWAGEN,GOLF,2005,2009,31940,31940,A,Low,0.1569,0.6005,237140
VOLKSWAGEN,GOLF,2005,2009,32115,32115,A,Low,0.1419,0.6005,237140
VOLKSWAGEN,GOLF,2005,2009,31226,31226,A,Low,0.1363,0.6005,237140
FORD,TRANSIT,2000,2004,30305,30305,A,Low,0.5425,0.5653,12559
FORD,TRANSIT,2000,2004,31485,31485,F,High,0.416,0.5653,12559
FORD,TRANSIT,2000,2004,32037,32037,A,Low,0.3481,0.5653,12559
FORD,TRANSIT,2000,2004,31940,31940,A,Low,0.3356,0.5653,12559
FORD,TRANSIT,2000,2004,31523,31523,A,Low,0.2808,0.5653,12559
FORD,TRANSIT,2000,2004,31322,31322,A,Low,0.2552,0.5653,12559
FORD,TRANSIT,2000,2004,31485,31485,A,Low,0.2198,0.5653,12559
FORD,TRANSIT,2000,2004,31194,31194,A,Low,0.1851,0.5653,12559
FORD,TRANSIT,2000,2004,31523,31523,F,High,0.183,0.5653,12559
